BNN,NNN,BNN,NNR,G,Y
NDN,D - 3,BNY,YND,G,B
D - 3,NNB,RNN,NNR,B,G
NNR,YNN,NNG,D - 3,R,G
NNG,NNR,NNN,BNN,B,Y
D - 2,D - 2,D - 3,NDN,Y,D
NNY,RNN,GNN,D - 2,G,R
GNN,DNG,NDN,NNG,Y,G
NNN,YNN,D - 2,NYN,D,R
BNY,D - 1,NNR,GNN,B,R
RNN,NDN,NDN,NNN,R,B
D - 1,NNG,D - 1,D - 1,R,Y
NDN,NBN,NNY,BNN,Y,B
